system,dataset,model_size,run_id,source_file,example_count,initial_verified_count,repair_attempted_count,accepted_after_repair_count,repair_rejected_abstained_count,abstention_count,unsupported_accepted_after_repair_count,repair_attempt_rate,repair_salvage_rate,final_abstention_rate,final_verifier_pass_rate
repair_plus_verifier,asqa,3b,repair_plus_verifier_asqa_dev_eval_200_3b_overhaul,outputs\runs\locked\repair_plus_verifier_asqa_dev_eval_200_3b_overhaul\predictions.jsonl,200,176,24,11,13,94,0,0.120000,0.458333,0.470000,1.000000
repair_plus_verifier,asqa,7b,repair_plus_verifier_asqa_dev_eval_200_7b_overhaul,outputs\runs\locked\repair_plus_verifier_asqa_dev_eval_200_7b_overhaul\predictions.jsonl,200,151,49,11,38,115,0,0.245000,0.224490,0.575000,1.000000
repair_plus_verifier,finance,3b,repair_plus_verifier_finance_finance_full_100_3b_overhaul,outputs\runs\locked\repair_plus_verifier_finance_finance_full_100_3b_overhaul\predictions.jsonl,100,58,42,41,1,35,0,0.420000,0.976190,0.350000,1.000000
repair_plus_verifier,finance,7b,repair_plus_verifier_finance_finance_full_100_7b_overhaul,outputs\runs\locked\repair_plus_verifier_finance_finance_full_100_7b_overhaul\predictions.jsonl,100,41,59,44,15,100,0,0.590000,0.745763,1.000000,1.000000
