system,dataset,model_size,run_id,eval_scope,source_file,artifact_mode,example_count,rejected_by_verifier_count,answerable_count,unanswerable_count,answer_coverage,citation_format_rate,support_proxy_sentence_rate,unsupported_non_abstained_rate,abstention_rate,retrieval_hit_rate,exact_answer_accuracy,correct_citation_rate,false_attribution_rate,abstention_rate_unanswerable,asqa_short_answer_coverage,phase08_package_scope,formal_full_eval_pass,scope_note
baseline,asqa,3b,baseline_asqa_dev_eval_200_3b_distractor3b_distractor,locked_distractor_probe,outputs\runs\locked\baseline_asqa_dev_eval_200_3b_distractor3b_distractor\predictions.jsonl,recorded_prediction,200,0,0,0,0.540000,1.000000,0.964912,0.020000,0.440000,0.844444,,,0.020000,,0.299405,generated_distractor_stress_test,false,Generated distractor stress test: each prompt includes one added plausible irrelevant fourth passage. This robustness slice does not replace the normal fixed-split evaluation.
gate_only,asqa,3b,gate_only_asqa_dev_eval_200_3b_distractor3b_distractor,locked_distractor_probe,outputs\runs\locked\gate_only_asqa_dev_eval_200_3b_distractor3b_distractor\predictions.jsonl,recorded_prediction,200,0,0,0,0.550000,0.995000,0.966667,0.025000,0.425000,0.844444,,,0.025000,,0.282456,generated_distractor_stress_test,false,Generated distractor stress test: each prompt includes one added plausible irrelevant fourth passage. This robustness slice does not replace the normal fixed-split evaluation.
gate_plus_verifier,asqa,3b,gate_only_asqa_dev_eval_200_3b_distractor3b_distractor,locked_distractor_probe,outputs\runs\locked\gate_only_asqa_dev_eval_200_3b_distractor3b_distractor\predictions.jsonl,verifier_rejection_projection,200,5,0,0,0.550000,1.000000,1.000000,0.000000,0.450000,0.844444,,,0.000000,,0.276212,generated_distractor_stress_test,false,Generated distractor stress test: each prompt includes one added plausible irrelevant fourth passage. This robustness slice does not replace the normal fixed-split evaluation.
baseline,finance,3b,baseline_finance_finance_full_100_3b_distractor3b_distractor,locked_distractor_probe,outputs\runs\locked\baseline_finance_finance_full_100_3b_distractor3b_distractor\predictions.jsonl,recorded_prediction,100,0,85,15,0.440000,1.000000,,0.170000,0.390000,1.000000,0.580000,0.868852,0.170000,0.933333,,generated_distractor_stress_test,false,Generated distractor stress test: each prompt includes one added plausible irrelevant fourth passage. This robustness slice does not replace the normal fixed-split evaluation.
gate_only,finance,3b,gate_only_finance_finance_full_100_3b_distractor3b_distractor,locked_distractor_probe,outputs\runs\locked\gate_only_finance_finance_full_100_3b_distractor3b_distractor\predictions.jsonl,recorded_prediction,100,0,85,15,0.390000,1.000000,,0.170000,0.440000,1.000000,0.530000,0.910714,0.170000,0.933333,,generated_distractor_stress_test,false,Generated distractor stress test: each prompt includes one added plausible irrelevant fourth passage. This robustness slice does not replace the normal fixed-split evaluation.
gate_plus_verifier,finance,3b,gate_only_finance_finance_full_100_3b_distractor3b_distractor,locked_distractor_probe,outputs\runs\locked\gate_only_finance_finance_full_100_3b_distractor3b_distractor\predictions.jsonl,verifier_rejection_projection,100,17,85,15,0.390000,1.000000,,0.000000,0.610000,1.000000,0.540000,1.000000,0.000000,1.000000,,generated_distractor_stress_test,false,Generated distractor stress test: each prompt includes one added plausible irrelevant fourth passage. This robustness slice does not replace the normal fixed-split evaluation.
