system,dataset,model_size,run_id,eval_scope,source_file,artifact_mode,example_count,rejected_by_verifier_count,answerable_count,unanswerable_count,answer_coverage,citation_format_rate,support_proxy_sentence_rate,unsupported_non_abstained_rate,abstention_rate,retrieval_hit_rate,exact_answer_accuracy,correct_citation_rate,false_attribution_rate,abstention_rate_unanswerable,asqa_short_answer_coverage,phase08_package_scope,formal_full_eval_pass,scope_note
baseline,asqa,3b,baseline_asqa_dev_eval_200_3b_final3b,locked_fixed_split,outputs\runs\locked\baseline_asqa_dev_eval_200_3b_final3b\predictions.jsonl,recorded_prediction,200,0,0,0,0.495000,0.995000,0.945455,0.035000,0.470000,0.844444,,,0.035000,,0.274762,phase08_artifact_package_from_saved_predictions,true,Full locked 3B baseline and gate-only predictions are present for dev_eval_200 and finance_full_100.
gate_only,asqa,3b,gate_only_asqa_dev_eval_200_3b_final3b,locked_fixed_split,outputs\runs\locked\gate_only_asqa_dev_eval_200_3b_final3b\predictions.jsonl,recorded_prediction,200,0,0,0,0.545000,0.995000,0.966102,0.025000,0.430000,0.844444,,,0.025000,,0.259440,phase08_artifact_package_from_saved_predictions,true,Full locked 3B baseline and gate-only predictions are present for dev_eval_200 and finance_full_100.
gate_plus_verifier,asqa,3b,gate_only_asqa_dev_eval_200_3b_final3b,locked_fixed_split,outputs\runs\locked\gate_only_asqa_dev_eval_200_3b_final3b\predictions.jsonl,verifier_rejection_projection,200,5,0,0,0.545000,1.000000,1.000000,0.000000,0.455000,0.844444,,,0.000000,,0.260550,phase08_artifact_package_from_saved_predictions,true,Full locked 3B baseline and gate-only predictions are present for dev_eval_200 and finance_full_100.
baseline,finance,3b,baseline_finance_finance_full_100_3b_final3b,locked_fixed_split,outputs\runs\locked\baseline_finance_finance_full_100_3b_final3b\predictions.jsonl,recorded_prediction,100,0,85,15,0.470000,1.000000,,0.010000,0.520000,1.000000,0.620000,1.000000,0.010000,1.000000,,phase08_artifact_package_from_saved_predictions,true,Full locked 3B baseline and gate-only predictions are present for dev_eval_200 and finance_full_100.
gate_only,finance,3b,gate_only_finance_finance_full_100_3b_final3b,locked_fixed_split,outputs\runs\locked\gate_only_finance_finance_full_100_3b_final3b\predictions.jsonl,recorded_prediction,100,0,85,15,0.470000,1.000000,,0.020000,0.510000,1.000000,0.620000,1.000000,0.020000,1.000000,,phase08_artifact_package_from_saved_predictions,true,Full locked 3B baseline and gate-only predictions are present for dev_eval_200 and finance_full_100.
gate_plus_verifier,finance,3b,gate_only_finance_finance_full_100_3b_final3b,locked_fixed_split,outputs\runs\locked\gate_only_finance_finance_full_100_3b_final3b\predictions.jsonl,verifier_rejection_projection,100,2,85,15,0.470000,1.000000,,0.000000,0.530000,1.000000,0.620000,1.000000,0.000000,1.000000,,phase08_artifact_package_from_saved_predictions,true,Full locked 3B baseline and gate-only predictions are present for dev_eval_200 and finance_full_100.
