system,dataset,model_size,run_id,eval_scope,source_file,artifact_mode,example_count,rejected_by_verifier_count,answerable_count,unanswerable_count,answer_coverage,citation_format_rate,support_proxy_sentence_rate,unsupported_non_abstained_rate,abstention_rate,retrieval_hit_rate,exact_answer_accuracy,correct_citation_rate,false_attribution_rate,abstention_rate_unanswerable,asqa_short_answer_coverage
repair_plus_verifier,asqa,3b,repair_plus_verifier_asqa_dev_eval_200_3b_generated_distractor_distractor,locked_distractor_probe,outputs\runs\locked\repair_plus_verifier_asqa_dev_eval_200_3b_generated_distractor_distractor\predictions.jsonl,recorded_prediction,40,0,0,0,0.550000,1.000000,1.000000,0.000000,0.450000,0.888889,,,0.000000,,0.303030
repair_plus_verifier,finance,3b,repair_plus_verifier_finance_finance_full_100_3b_generated_distractor_distractor,locked_distractor_probe,outputs\runs\locked\repair_plus_verifier_finance_finance_full_100_3b_generated_distractor_distractor\predictions.jsonl,recorded_prediction,20,0,20,0,0.850000,1.000000,,0.000000,0.150000,1.000000,0.850000,1.000000,0.000000,,
